id,name,energy_kcal_per_100g,unit,serving_size,gtin13,image_url,product_url,source,created_at
175,chocolate cake,394,g,100,,https://lokcal.app/images/175_chocolate_cake.jpg,,nevo,
176,chocolate chip cookie,501,g,30,,https://lokcal.app/images/176_chocolate_chip_cookie.jpg,,nevo,
177,chocolate mousse,189,g,80,,https://lokcal.app/images/177_chocolate_mousse.jpg,,nevo,
178,chocolate sauce,269,g,30,,https://lokcal.app/images/178_chocolate_sauce.jpg,,nevo,
179,chocolate sprinkles,449,g,10,,https://lokcal.app/images/179_chocolate_sprinkles.jpg,,nevo,
180,christmas bread,282,g,50,,https://lokcal.app/images/180_christmas_bread.jpg,,nevo,
181,cider,55,g,250,,https://lokcal.app/images/181_cider.jpg,,nevo,
182,clear soup,10,g,250,,https://lokcal.app/images/182_clear_soup.jpg,,nevo,
183,coated peanuts,532,g,30,,https://lokcal.app/images/183_coated_peanuts.jpg,,nevo,
184,coconut flavoured cookies,518,g,30,,https://lokcal.app/images/184_coconut_flavoured_cookies.jpg,,nevo,
185,coconut macaroons,455,g,25,,https://lokcal.app/images/185_coconut_macaroons.jpg,,nevo,
186,cognac,224,g,42,,https://lokcal.app/images/186_cognac.jpg,,nevo,
187,cold cuts,239,g,56,,https://lokcal.app/images/187_cold_cuts.jpg,,nevo,
188,couscous,363,g,170,,https://lokcal.app/images/188_couscous.jpg,,nevo,
189,cowberries,57,g,100,,https://lokcal.app/images/189_cowberries.jpg,,nevo,
190,crackers,380,g,30,,https://lokcal.app/images/190_crackers.jpg,,nevo,
191,sweetened dried cranberries,335,g,40,,https://lokcal.app/images/191_sweetened_dried_cranberries.jpg,,nevo,
192,fresh cranberries,24,g,100,,https://lokcal.app/images/192_fresh_cranberries.jpg,,nevo,
193,cranberry compote,172,g,125,,https://lokcal.app/images/193_cranberry_compote.jpg,,nevo,
194,creme fraiche,293,g,15,,https://lokcal.app/images/194_creme_fraiche.jpg,,nevo,
195,garden cress,15,g,100,,https://lokcal.app/images/195_garden_cress.jpg,,nevo,
196,crispbakes,408,g,60,,https://lokcal.app/images/196_crispbakes.jpg,,nevo,
197,crispbread,376,g,10,,https://lokcal.app/images/197_crispbread.jpg,,nevo,
198,croquette from oven,204,g,70,,https://lokcal.app/images/198_croquette_from_oven.jpg,,nevo,
199,croutons,491,g,10,,https://lokcal.app/images/199_croutons.jpg,,nevo,
200,curly kale,33,g,100,,https://lokcal.app/images/200_curly_kale.jpg,,nevo,
201,dried currants,326,g,30,,https://lokcal.app/images/201_dried_currants.jpg,,nevo,
202,curry ketchup,129,g,15,,https://lokcal.app/images/202_curry_ketchup.jpg,,nevo,
203,dagoe leaf,34,g,100,,https://lokcal.app/images/203_dagoe_leaf.jpg,,nevo,
204,dairy spread,248,g,10,,https://lokcal.app/images/204_dairy_spread.jpg,,nevo,
205,dandelion leaves,55,g,100,,https://lokcal.app/images/205_dandelion_leaves.jpg,,nevo,
206,danish pastry,349,g,90,,https://lokcal.app/images/206_danish_pastry.jpg,,nevo,
207,bamihap,275,g,100,,https://lokcal.app/images/207_bamihap.jpg,,nevo,
208,deepfried croquette,272,g,70,,https://lokcal.app/images/208_deepfried_croquette.jpg,,nevo,
209,deepfried spring roll,181,g,100,,https://lokcal.app/images/209_deepfried_spring_roll.jpg,,nevo,
210,deepfried bitterbal,362,g,25,,https://lokcal.app/images/210_deepfried_bitterbal.jpg,,nevo,
211,digestive biscuit,492,g,15,,https://lokcal.app/images/211_digestive_biscuit.jpg,,nevo,
212,oliebol,256,g,60,,https://lokcal.app/images/212_oliebol.jpg,,nevo,
213,soaked dried apple,85,g,100,,https://lokcal.app/images/213_soaked_dried_apple.jpg,,nevo,
214,dried apples,292,g,40,,https://lokcal.app/images/214_dried_apples.jpg,,nevo,
215,dried dates,305,g,40,,https://lokcal.app/images/215_dried_dates.jpg,,nevo,
216,dried goji berries,343,g,10,,https://lokcal.app/images/216_dried_goji_berries.jpg,,nevo,
217,dried pear,287,g,60,,https://lokcal.app/images/217_dried_pear.jpg,,nevo,
218,soaked dried pear,83,g,50,,https://lokcal.app/images/218_soaked_dried_pear.jpg,,nevo,
219,agar agar,336,g,20,,https://lokcal.app/images/219_agar_agar.jpg,,nevo,
220,dried soya beans,418,g,90,,https://lokcal.app/images/220_dried_soya_beans.jpg,,nevo,
221,dutch boterkoek,452,g,50,,https://lokcal.app/images/221_dutch_boterkoek.jpg,,nevo,
222,swiss-style cheese,370,g,30,,https://lokcal.app/images/222_swiss-style_cheese.jpg,,nevo,
223,dutch krakeling biscuit,497,g,15,,https://lokcal.app/images/223_dutch_krakeling_biscuit.jpg,,nevo,
224,sprits biscuit,489,g,25,,https://lokcal.app/images/224_sprits_biscuit.jpg,,nevo,
225,tompouce,315,g,100,,https://lokcal.app/images/225_tompouce.jpg,,nevo,
226,dutch vieux brandy,200,g,30,,https://lokcal.app/images/226_dutch_vieux_brandy.jpg,,nevo,
227,egg white,44,g,33,,https://lokcal.app/images/227_egg_white.jpg,,nevo,
228,emmenthaler cheese,387,g,28,,https://lokcal.app/images/228_emmenthaler_cheese.jpg,,nevo,
229,falafel,231,g,80,,https://lokcal.app/images/229_falafel.jpg,,nevo,
230,fennel,17,g,150,,https://lokcal.app/images/230_fennel.jpg,,nevo,
231,feta cheese,274,g,28,,https://lokcal.app/images/231_feta_cheese.jpg,,nevo,
232,dried figs,259,g,40,,https://lokcal.app/images/232_dried_figs.jpg,,nevo,
233,fresh figs,84,g,50,,https://lokcal.app/images/233_fresh_figs.jpg,,nevo,
234,filled chocolate bar,567,g,40,,https://lokcal.app/images/234_filled_chocolate_bar.jpg,,nevo,
235,filled chocolates,512,g,30,,https://lokcal.app/images/235_filled_chocolates.jpg,,nevo,
236,filo pastry,286,g,50,,https://lokcal.app/images/236_filo_pastry.jpg,,nevo,
237,firm brown bun,294,g,75,,https://lokcal.app/images/237_firm_brown_bun.jpg,,nevo,
238,fruit flan,228,g,100,,https://lokcal.app/images/238_fruit_flan.jpg,,nevo,
239,focaccia,266,g,100,,https://lokcal.app/images/239_focaccia.jpg,,nevo,
240,frankfurter sausage,201,g,50,,https://lokcal.app/images/240_frankfurter_sausage.jpg,,nevo,
241,french fries,263,g,117,,https://lokcal.app/images/241_french_fries.jpg,,nevo,
242,fresh citrus fruit,48,g,150,,https://lokcal.app/images/242_fresh_citrus_fruit.jpg,,nevo,
